raw,text,label
"Subject: Job Offer for Marketing Manager Position Dear [Your Name], We are pleased to offer you the position of Marketing Manager at XYZ Corp. Please find the offer details attached. We look forward to having you join our team. Best regards, HR Department XYZ Corp.,0","Subject: Job Offer for Marketing Manager Position Dear [Your Name], We are pleased to offer you the position of Marketing Manager at XYZ Corp. Please find the offer details attached. We look forward to having you join our team. Best regards, HR Department XYZ Corp.",0
"Subject: Congratulations! You've Been Selected for an Interview Dear [Your Name], Thank you for your application to our Software Engineer position. We were impressed with your qualifications and would like to invite you for an interview. Please respond with your availability. Best, Recruitment Team ABC Technologies,0","Subject: Congratulations! You've Been Selected for an Interview Dear [Your Name], Thank you for your application to our Software Engineer position. We were impressed with your qualifications and would like to invite you for an interview. Please respond with your availability. Best, Recruitment Team ABC Technologies",0
"Subject: Immediate Hiring Opportunity! (No Experience Needed) Dear Applicant, Congratulations! You have been selected for an exciting work-from-home opportunity. To proceed, kindly send a registration fee of $50 via PayPal. Secure your dream job today before positions run out! Sincerely, Recruitment Team,1","Subject: Immediate Hiring Opportunity! (No Experience Needed) Dear Applicant, Congratulations! You have been selected for an exciting work-from-home opportunity. To proceed, kindly send a registration fee of $50 via PayPal. Secure your dream job today before positions run out! Sincerely, Recruitment Team",1
"Subject: Software Developer Position at InnovateTech Dear [Your Name], We are excited to offer you the role of Software Developer at InnovateTech. The position will begin on May 1st. Please confirm your acceptance. Best regards, Hiring Manager InnovateTech,0","Subject: Software Developer Position at InnovateTech Dear [Your Name], We are excited to offer you the role of Software Developer at InnovateTech. The position will begin on May 1st. Please confirm your acceptance. Best regards, Hiring Manager InnovateTech",0
"Subject: Urgent Work-From-Home Opportunity! Dear Applicant, We are offering a guaranteed job placement for those willing to pay a small administrative fee. Pay now and secure your position today! This is a limited-time offer! Regards, HR Team DreamJobs Inc.,1","Subject: Urgent Work-From-Home Opportunity! Dear Applicant, We are offering a guaranteed job placement for those willing to pay a small administrative fee. Pay now and secure your position today! This is a limited-time offer! Regards, HR Team DreamJobs Inc.",1
"Subject: Follow-Up on Your Application for Data Scientist Position Dear [Your Name], Thank you for applying to the Data Scientist role at DataX. We are still reviewing your application and will reach out with the next steps soon. Best, Hiring Team DataX,0","Subject: Follow-Up on Your Application for Data Scientist Position Dear [Your Name], Thank you for applying to the Data Scientist role at DataX. We are still reviewing your application and will reach out with the next steps soon. Best, Hiring Team DataX",0
"Subject: Limited Time Job Offer - Act Fast! Dear Applicant, Congratulations! We are offering an immediate job opportunity that requires a small payment for training materials. Don’t miss out on this exclusive offer. Send $75 via Bitcoin to start now! Sincerely, Job Placement Team,1","Subject: Limited Time Job Offer - Act Fast! Dear Applicant, Congratulations! We are offering an immediate job opportunity that requires a small payment for training materials. Don’t miss out on this exclusive offer. Send $75 via Bitcoin to start now! Sincerely, Job Placement Team",1
"Subject: Interview Invitation for Senior Developer Role Dear [Your Name], We were impressed with your resume and would like to invite you to an interview for the Senior Developer role at TechMasters. Please choose a time that works for you. Best, Interview Coordinator TechMasters,0","Subject: Interview Invitation for Senior Developer Role Dear [Your Name], We were impressed with your resume and would like to invite you to an interview for the Senior Developer role at TechMasters. Please choose a time that works for you. Best, Interview Coordinator TechMasters",0
"Subject: Join Our Team! - Immediate Start Dear [Your Name], We’re thrilled to offer you a position at FutureTech. You can start as soon as next week. Please reply to confirm your acceptance and we will send the details. Best regards, HR Team FutureTech,0","Subject: Join Our Team! - Immediate Start Dear [Your Name], We’re thrilled to offer you a position at FutureTech. You can start as soon as next week. Please reply to confirm your acceptance and we will send the details. Best regards, HR Team FutureTech",0
"Subject: Instant Job Offer – No Interview Needed Dear Applicant, Congratulations! You are eligible for a high-paying job offer with our company. Simply pay a $100 processing fee to secure your spot today! Regards, HR Department QuickHire,1","Subject: Instant Job Offer – No Interview Needed Dear Applicant, Congratulations! You are eligible for a high-paying job offer with our company. Simply pay a $100 processing fee to secure your spot today! Regards, HR Department QuickHire",1
"Subject: Job Offer from GlobalTech Dear [Your Name], After reviewing your credentials, we’re excited to offer you a position at GlobalTech as a Project Manager. Please find the attached document for offer details. Best regards, GlobalTech HR,0","Subject: Job Offer from GlobalTech Dear [Your Name], After reviewing your credentials, we’re excited to offer you a position at GlobalTech as a Project Manager. Please find the attached document for offer details. Best regards, GlobalTech HR",0
"Subject: Attention: Your Application Has Been Accepted! Dear Applicant, We’re pleased to inform you that your job application for the Executive Assistant role has been accepted. To proceed, simply send a $150 processing fee and complete your registration. Regards, Recruiting Team,1","Subject: Attention: Your Application Has Been Accepted! Dear Applicant, We’re pleased to inform you that your job application for the Executive Assistant role has been accepted. To proceed, simply send a $150 processing fee and complete your registration. Regards, Recruiting Team",1
"Subject: Invitation to Interview for Graphic Designer Role Dear [Your Name], Thank you for applying for the Graphic Designer position at Creatives Inc. We would like to schedule an interview with you next week. Let us know your availability. Best regards, HR Creatives Inc.,0","Subject: Invitation to Interview for Graphic Designer Role Dear [Your Name], Thank you for applying for the Graphic Designer position at Creatives Inc. We would like to schedule an interview with you next week. Let us know your availability. Best regards, HR Creatives Inc.",0
